    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0010   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0011   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0006   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0004   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0004   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0009   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.3143   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.1384   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.0676   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.1151   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
     250       3437.81     1.2509   9.614E+00   0.2540   0.1000   6.082E-16  -5.39449584E-05   5.34941865E-02
     300       3937.73     1.2468   9.090E+00   0.2746   0.1000   5.994E-16  -1.03077894E-04   6.13359068E-02
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0006   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.3028   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.2752   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.1661   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.1065   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
     250       3437.81     1.0933   9.614E+00   0.2540   0.1000   6.082E-16  -5.39449584E-05   5.34941865E-02
     300       3937.73     1.1141   9.090E+00   0.2746   0.1000   5.994E-16  -1.03077894E-04   6.13359068E-02
     350        4387.5     1.0638   9.352E+00   0.2933   0.1000   5.724E-16  -1.72278702E-04   7.01468518E-02
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0006   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.3837   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.2536   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.1448   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.1066   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
     250       3437.81     1.1065   9.614E+00   0.2540   0.1000   6.082E-16  -5.39449584E-05   5.34941865E-02
     300       3937.73     1.1332   9.090E+00   0.2746   0.1000   5.994E-16  -1.03077894E-04   6.13359068E-02
     350        4387.5     1.0824   9.352E+00   0.2933   0.1000   5.724E-16  -1.72278702E-04   7.01468518E-02
     400       4865.62     1.0971   9.111E+00   0.3468   0.1000   5.915E-16  -3.30208984E-04   8.33797579E-02
     450       5323.91     1.0648   9.733E+00   0.3704   0.1000   5.655E-16  -4.52146586E-04   8.84438301E-02
     500        5773.9     1.1900   8.665E+00   0.2936   0.1000   5.434E-16  -4.09832956E-04   9.77895027E-02
     550       6217.13     1.1602   9.887E+00   0.3877   0.1000   6.314E-16  -3.23972851E-04   1.10168264E-01
     600       6645.29     1.1358   9.158E+00   0.3444   0.1000   5.631E-16  -3.88342702E-04   1.09292446E-01
     650       7084.15     1.0527   8.996E+00   0.3402   0.1000   6.086E-16  -5.48415118E-04   1.14624264E-01
     700       7535.46     1.1490   9.101E+00   0.3944   0.1000   5.993E-16  -6.62201364E-04   1.28156075E-01
     750       7975.44     1.0650   8.133E+00   0.3505   0.1000   5.112E-16  -5.90145093E-04   1.43165974E-01
     800          8400     1.0533   7.980E+00   0.3253   0.1000   2.462E-16  -1.82147836E-04   1.48568778E-01
     850        8784.8     1.0891   7.003E+00   0.2897   0.1000   4.385E-16   4.21778905E-04   1.53575442E-01
     900       9166.94     1.0620   8.395E+00   0.3775   0.1000   8.361E-16   1.00321338E-03   1.69063762E-01
     950       9573.52     1.0980   7.535E+00   0.3263   0.1000   5.785E-16   1.48369609E-03   1.81409733E-01
    1000       9947.95     1.3986   8.052E+00   0.3984   0.1000   6.505E-16   1.65787154E-03   1.85041922E-01
    1050       10322.8     1.1947   7.295E+00   0.3119   0.1000   5.811E-16   1.74625173E-03   1.86415047E-01
    1100       10706.8     1.1042   8.128E+00   0.4145   0.1000   7.360E-16   1.84042870E-03   2.05917209E-01
    1112         10800     0.2546   8.027E+00   0.4183   0.1000   2.177E-16   1.85553705E-03   2.12101090E-01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0008   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0005   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0005   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.3399   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.1966   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.1468   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.1384   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0011   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.2978   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.2913   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.1474   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.1985   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
     250       3437.81     1.2074   9.614E+00   0.2540   0.1000   6.082E-16  -5.39449584E-05   5.34941865E-02
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0007   2.339E+01   0.0000   0.1000   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1107.19     1.5433   1.704E+01   0.0558   0.1000   1.092E-15   2.19783226E-08   4.34069539E-04
     100       1812.08     1.3620   1.182E+01   0.2565   0.1000   7.649E-16   2.93922386E-06   2.56058038E-02
     150       2339.73     1.3712   1.022E+01   0.2705   0.1000   6.864E-16   1.42020164E-05   3.57965097E-02
     200       2926.46     1.3495   1.072E+01   0.2541   0.1000   7.425E-16  -7.56374532E-06   3.53908781E-02
